lon,lat,sst,type
-52.951,-46.5592,281.38,train
-54.2882,-38.7485,289.16,train
-58.769,-45.8548,279.1,train
-50.806,-42.7802,286.57,train
-57.7529,-48.9937,278.76,train
-56.6004,-47.7442,278.07,train
-51.8257,-44.0771,281.7,train
-57.6749,-49.2534,278.83,train
-55.2509,-48.5502,278.07,train
-52.1536,-48.5413,282.52,train
-49.922,-35.7342,290.63,train
-53.7296,-37.1973,292.44,train
-53.9342,-46.842,284.08,train
-59.3127,-45.5552,278.42,train
-56.6488,-46.1707,279.44,train
-49.3674,-46.4007,283.07,train
-58.7309,-49.3252,279.48,train
-54.3468,-42.6306,289.35,train
-48.3544,-37.074,290.41,train
-54.8605,-48.8198,277.89,train
-56.7743,-49.3968,278.66,train
-53.7386,-39.6208,289.92,train
-54.8315,-45.608,280.58,train
-56.5368,-49.306,278.95,train
-59.4066,-48.4726,278.82,train
-48.0206,-35.3926,291.97,train
-56.795,-44.5286,280.66,train
-53.606,-37.1369,292.45,train
-53.5646,-47.9334,285.94,train
-57.3369,-44.8499,280.77,train
-51.8041,-38.6694,288.75,train
-58.3232,-49.4103,279.05,train
-59.8671,-44.4784,280.04,train
-56.0088,-48.5119,279.07,train
-55.8708,-40.2403,280.25,train
-59.357,-45.6422,279.07,train
-56.761,-44.0759,280.97,train
-52.7652,-38.9724,292.57,train
-53.4705,-40.1318,291.91,train
-56.9714,-44.6907,281.35,train
-59.7069,-48.2703,278.85,train
-58.3618,-46.4206,278.51,train
-57.7455,-49.3057,279.54,train
-53.4746,-37.1239,292.35,train
-52.7461,-37.4586,290.92,train
-53.791,-40.3649,290.63,train
-53.5629,-49.4535,278.08,train
-49.0477,-46.1635,282.67,train
-56.3197,-45.217,281.52,train
-55.1169,-49.64,278.14,train
-56.6183,-39.347,283.47,train
-59.744,-47.4988,278.66,train
-59.7898,-46.2905,279.17,train
-51.7873,-43.6416,283.32,train
-50.5213,-48.9119,278.13,train
-54.5625,-48.9131,278.16,train
-57.7437,-38.4025,285.61,train
-59.1905,-46.5084,278.66,train
-53.9035,-44.4118,281.22,train
-56.8237,-48.5401,279,train
-58.3734,-43.1592,279.66,train
-53.3251,-44.4549,281.82,train
-58.6593,-43.9464,279.72,train
-48.4579,-44.1373,282.94,train
-55.4594,-41.4555,280.83,train
-49.7322,-35.4845,293.2,train
-56.644,-41.9313,280.72,train
-54.2596,-44.7414,281.22,train
-49.9669,-41.1624,288.97,train
-58.5082,-48.4273,278.79,train
-54.2171,-49.8062,277.98,train
-57.4626,-38.7634,284.76,train
-56.6744,-49.609,278.75,train
-50.2936,-35.4457,292.94,train
-58.7765,-48.5113,278.72,train
-55.7093,-44.6094,281.83,train
-49.919,-46.2404,282.35,train
-55.0579,-45.4755,280.85,train
-53.6282,-49.1958,277.79,train
-56.567,-41.3394,280.04,train
-52.4019,-49.1872,278.04,train
-53.9331,-44.3725,281.32,train
-56.567,-45.317,280.5,train
-57.8499,-46.0071,280.5,train
-53.3982,-37.4556,291.38,train
-57.6314,-41.771,280.55,train
-53.5803,-48.986,278.08,train
-53.2628,-46.9733,281.8,train
-51.6596,-49.4943,277.83,train
-57.827,-42.8889,279.41,train
-57.6461,-48.601,279.07,train
-51.3856,-46.9701,280.91,train
-59.1484,-45.2442,279.16,train
-58.8404,-48.7197,278.8,train
-53.649,-38.7941,291.25,train
-57.3629,-45.1657,280.85,train
-50.5092,-36.666,291.7,train
-56.9428,-42.1611,280.07,train
-56.5018,-46.644,279.6,train
-54.4134,-44.9709,281.83,train
-50.2013,-46.7841,282.83,train
-48.5756,-36.7881,290.5,train
-58.9989,-41.1414,282.35,train
-54.7577,-37.5347,289.47,train
-49.5684,-43.4438,285.08,train
-53.3763,-39.902,292.17,train
-51.4647,-35.1416,292.35,train
-57.7299,-44.9604,280.91,train
-54.4978,-47.1629,284.75,train
-56.5155,-44.2069,281.66,train
-56.3523,-44.4656,281.82,train
-57.3846,-47.9135,279.6,train
-51.4394,-48.9461,278.36,train
-52.9212,-46.7621,283.29,train
-56.6515,-46.0694,280.19,train
-52.6288,-37.8162,291.07,train
-54.1517,-38.5749,288.85,train
-48.2308,-42.1981,285.17,train
-55.3742,-46.692,278.95,train
-52.0478,-38.4176,290.79,train
-55.5499,-46.369,279.41,train
-54.1053,-48.8394,278.47,train
-54.695,-46.9294,283.92,train
-52.2863,-37.1384,291.48,train
-55.1228,-38.2119,283.03,train
-58.6811,-48.4119,279.47,train
-55.6974,-48.6395,278.42,train
-55.0902,-45.1351,280.01,train
-52.0381,-38.5412,290.44,train
-59.3781,-40.5973,283.1,train
-57.1569,-49.7171,278.86,train
-50.7783,-45.2253,282.16,train
-53.6751,-37.3846,292.14,train
-56.2367,-38.9802,283.47,train
-58.1167,-49.8547,278.77,train
-50.8119,-35.1045,292.76,train
-53.8351,-47.2686,285.38,train
-59.2503,-49.5677,278.44,train
-59.8337,-42.774,281.86,train
-58.398,-44.9119,279.07,train
-55.8307,-47.1547,278.44,train
-54.6148,-46.6628,281.57,train
-50.9642,-42.82,286.75,train
-54.7631,-47.2631,282.39,train
-55.6729,-38.1284,283.38,train
-48.4641,-35.3382,291.82,train
-57.3977,-48.5438,279.13,train
-54.0332,-37.3497,288.44,train
-58.9619,-46.8371,278.61,train
-51.8894,-47.1064,281.07,train
-59.1369,-45.3517,279.07,train
-53.7117,-48.3769,278.67,train
-51.9503,-36.5937,292.79,train
-55.544,-47.6055,278.04,train
-56.9026,-38.7957,284.25,train
-59.4086,-49.2065,278.92,train
-57.8218,-45.1865,280.41,train
-49.9155,-35.0045,293.08,train
-57.8108,-48.4156,278.69,train
-50.8508,-44.7012,282.57,train
-58.4547,-39.0912,285,train
-52.4339,-36.8366,292.47,train
-55.6431,-42.0395,282.73,train
-54.8877,-43.1766,288.72,train
-52.4565,-43.8193,282.13,train
-59.5261,-47.4516,278.77,train
-52.3582,-38.6889,292.35,train
-55.598,-45.0481,280.5,train
-50.791,-35.6326,292.25,train
-59.916,-46.0602,279.36,train
-59.8378,-47.974,279.08,train
-56.8193,-48.9709,279.16,train
-50.6483,-43.4306,285.86,train
-52.2351,-43.8154,283.85,train
-56.476,-47.9117,278.85,train
-50.7495,-38.1997,288.32,train
-58.6641,-45.2364,279.57,train
-59.1756,-46.2543,278.85,train
-53.5343,-35.4626,289.67,train
-50.9689,-37.2477,292,train
-54.2134,-38.2595,288.2,train
-52.2783,-47.0578,280.97,train
-55.8614,-40.3513,279.94,train
-59.339,-41.6307,283.3,train
-57.1804,-40.7597,281.76,train
-53.0873,-39.2412,291.88,train
-56.8827,-45.4508,280.27,train
-54.852,-49.5623,278.19,train
-59.9666,-41.3281,283.44,train
-49.4955,-37.1053,288.29,train
-48.9607,-45.5461,282.3,train
-57.6558,-44.412,281.69,train
-49.8573,-46.0165,282.13,train
-59.8729,-40.49,284.41,train
-58.298,-47.801,278.79,train
-59.5574,-44.3885,279.85,train
-58.6123,-44.5004,279.8,train
-58.3507,-41.8371,281.91,train
-54.7508,-49.9302,278.35,train
-55.2892,-47.4831,278.85,train
-59.055,-43.5765,279.92,train
-56.0003,-46.3461,279.25,train
-55.2378,-44.7568,281.51,train
-59.9815,-44.1029,280.82,train
-50.7425,-47.1475,282.57,train
-57.6729,-46.8921,280.2,train
-49.1941,-35.2395,291.69,train
-51.0333,-36.1676,292.53,train
-48.1863,-35.9135,291,train
-54.4215,-46.398,281.63,train
-50.5005,-45.8139,282.22,train
-51.8684,-41.9254,283.97,train
-59.117,-42.8384,280.16,train
-58.7773,-44.7528,279.42,train
-52.989,-35.161,290.39,train
-55.8575,-48.645,278.92,train
-58.8574,-48.9491,279.5,train
-54.7921,-46.9524,283.16,train
-55.6924,-48.1461,278.19,train
-55.1466,-39.0161,281,train
-59.7563,-39.6413,285.13,train
-56.0579,-45.3485,281.32,train
-54.9458,-48.9343,278.57,train
-57.3129,-48.9421,278.73,train
-54.422,-49.6206,278.47,train
-58.4267,-47.7354,278.91,train
-59.5384,-48.5439,278.92,train
-55.6705,-48.9166,278.52,train
-56.319,-38.5201,283.78,train
-48.3425,-43.9215,282.54,train
-56.564,-41.6533,279.41,train
-57.4428,-48.563,279.2,train
-55.0483,-48.2485,278.63,train
-55.2681,-48.067,278.32,train
-58.6975,-49.7569,279,train
-52.8068,-47.0394,280.38,train
-59.5864,-48.1915,278.35,train
-55.5916,-42.217,281.53,train
-51.8548,-49.9277,277.63,train
-55.5114,-49.6229,278.17,train
-56.6116,-49.9839,278.58,train
-55.5009,-38.2325,282.6,train
-57.9698,-47.4456,278.52,train
-53.5695,-46.7741,281.29,train
-57.2165,-41.7608,279.82,train
-55.7431,-46.6855,279.42,train
-56.1024,-47.8924,278.42,train
-55.6527,-40.1698,280.16,train
-56.4242,-48.3619,278.45,train
-51.5364,-36.537,292.76,train
-56.7139,-44.0912,280.94,train
-51.6374,-43.3347,282.77,train
-58.2256,-46.5304,278.02,train
-53.6049,-35.1799,290.3,train
-52.9321,-38.8524,291.29,train
-57.4344,-38.9882,284.22,train
-59.8106,-43.5907,280.72,train
-56.8353,-49.6299,278.6,train
-57.536,-44.9885,281.52,train
-49.4896,-38.0095,290.75,train
-48.018,-37.5262,289.05,train
-56.2354,-47.6149,278.45,train
-56.8326,-42.6038,279.52,train
-54.6972,-38.7601,290.27,train
-54.9503,-40.6453,281.42,train
-50.1132,-45.6713,283.5,train
-50.3641,-45.6771,282.32,train
-57.9742,-41.1943,282.5,train
-52.8479,-38.25,291.57,train
-57.4084,-46.6091,280.13,train
-54.6326,-49.8236,278.82,train
-50.6341,-40.4398,289.75,train
-50.512,-46.9845,282.38,train
-58.9955,-38.9058,285.5,train
-51.3789,-42.1131,282.76,train
-56.9982,-47.7501,278.1,train
-53.3324,-46.9701,280.69,train
-57.3246,-38.9637,284.3,train
-56.0956,-46.5342,280.07,train
-48.3146,-36.4967,291.11,train
-59.4973,-47.8904,278.82,train
-58.0685,-46.6991,278.77,train
-53.7043,-46.1385,282.04,train
-59.1397,-43.1347,280.19,train
-54.2375,-47.8265,282.61,train
-57.8479,-48.9779,278.76,train
-56.4592,-48.8027,278.27,train
-57.5137,-43.284,281.05,train
-59.4001,-49.1864,278.72,train
-57.4998,-41.621,280.32,train
-54.937,-48.31,278.36,train
-53.8525,-45.9752,281.8,train
-51.3955,-36.429,291.47,train
-57.0707,-49.7586,278.8,train
-57.369,-41.6232,280,train
-58.1013,-48.6528,278.66,train
-53.7845,-46.547,282.04,train
-58.0574,-44.3635,281.39,train
-59.5514,-48.7691,279.1,train
-53.5995,-49.5782,278.33,train
-52.2706,-44.0371,281.75,train
-54.9822,-41.4268,281.23,train
-48.0031,-43.2721,283.07,train
-54.7565,-45.1313,280.5,train
-56.4435,-39.1681,283.6,train
-53.066,-40.1389,293.03,train
-58.236,-41.2614,282.53,train
-51.4967,-43.1911,282.85,train
-54.2477,-48.7412,278.22,train
-55.6745,-41.6578,281.22,train
-56.3691,-47.8858,279.07,train
-51.5777,-49.2286,277.79,train
-50.735,-36.9642,292,train
-54.139,-48.4854,278.41,train
-56.0216,-49.6859,277.82,train
-53.3713,-45.4083,281.64,train
-49.3306,-35.1493,292.32,train
-53.5746,-36.8512,292.08,train
-49.094,-35.1097,291.94,train
-54.8138,-44.6385,281.5,train
-50.2123,-39.513,286.64,train
-54.5785,-46.3158,282.35,train
-59.0731,-41.7323,282.47,train
-58.9682,-40.3766,282.86,train
-48.9741,-36.2284,291.16,train
-53.5369,-36.0827,288.63,train
-56.8058,-48.5717,279.11,train
-59.6588,-41.123,283.25,train
-54.236,-49.6382,278.17,train
-48.098,-44.0942,282.54,train
-58.14,-49.2886,279.45,train
-54.9072,-45.3207,280.19,train
-49.7443,-37.7818,288.94,train
-50.9679,-36.694,291.91,train
-57.6964,-47.7985,279.55,train
-59.4687,-45.4701,279.41,train
-58.986,-46.2366,278.97,train
-58.6127,-44.3596,279.41,train
-59.2035,-44.936,279.45,train
-55.4284,-44.0109,288.07,train
-58.7925,-47.6678,278.29,train
-57.6383,-45.2802,280.86,train
-59.9875,-48.6958,279.08,train
-53.001,-48.6829,278.66,train
-57.7158,-46.3867,280.5,train
-57.6474,-46.7302,281.1,train
-49.5233,-36.464,288.53,train
-56.3289,-41.4767,279.73,train
-55.3172,-45.4251,280.32,train
-57.8269,-43.1011,279.86,train
-52.5243,-43.6316,284.79,train
-57.2365,-38.8861,284.13,train
-52.2302,-43.4574,287.41,train
-59.7155,-42.7199,282.04,train
-54.7271,-49.4857,278.48,train
-58.636,-41.5764,282.36,train
-55.3729,-47.7605,278.19,train
-55.6549,-41.9076,282.82,train
-53.9757,-48.7643,277.97,train
-51.7224,-36.3244,292.82,train
-56.0298,-49.5689,277.63,train
-55.8038,-39.2268,282.69,train
-54.4654,-46.3447,281.85,train
-51.1325,-36.2976,291.72,train
-50.6607,-39.2452,287.48,train
-54.029,-35.5709,289.92,train
-58.4671,-45.2993,280.17,train
-56.1919,-44.4128,280.95,train
-49.5757,-35.6822,290.88,train
-54.4497,-48.9547,278.11,train
-51.1366,-37.4842,292.26,train
-57.7425,-43.0368,280.1,train
-58.4768,-46.447,278.05,train
-56.542,-43.6171,280.94,train
-56.5662,-41.5953,279.6,train
-57.0032,-41.7636,279.6,train
-54.6808,-38.1377,288.32,train
-56.8748,-46.1241,279.73,train
-59.4556,-41.7168,282.47,train
-50.9173,-38.0335,288.39,train
-57.2427,-39.4557,283.48,train
-56.8069,-47.2494,279.07,train
-57.2455,-44.245,280.72,train
-48.6385,-35.0399,289.94,train
-56.7903,-41.759,279.52,train
-54.4521,-36.2738,290.03,train
-59.6711,-45.5815,279.5,train
-55.2682,-37.4601,283.85,train
-52.0632,-38.2686,291.25,train
-52.5883,-49.6878,277.44,train
-54.8288,-44.8024,281.44,train
-51.2326,-42.9925,283.7,train
-56.0891,-43.1947,283.11,train
-48.2252,-36.133,290.64,train
-53.9352,-35.7624,289.61,train
-55.9552,-42.8304,280.75,train
-52.5397,-43.5147,286.41,train
-53.9951,-47.045,284.23,train
-52.0423,-47.2166,281.35,train
-56.2855,-48.2673,278.11,train
-52.4667,-45.1487,283.1,train
-54.1183,-47.9533,282.88,train
-48.7805,-44.2571,282.53,train
-52.0131,-45.7376,284.27,train
-55.602,-49.4564,278.25,train
-58.5201,-43.5054,279.97,train
-50.5081,-37.055,292.42,train
-49.0773,-37.289,288.5,train
-59.9674,-44.6463,280.01,train
-56.4085,-48.7089,278.48,train
-57.6713,-47.6449,278.41,train
-52.8952,-48.3578,283.95,train
-51.5861,-46.7816,281.02,train
-52.4255,-48.9081,278.32,train
-52.8075,-47.509,281.77,train
-57.0167,-46.866,279.72,train
-55.7098,-44.4968,281.69,train
-56.0666,-45.7988,280.14,train
-52.5404,-36.7117,292.44,train
-57.9181,-45.4189,280.35,train
-59.2028,-48.5093,279.44,train
-51.6736,-37.273,291.57,train
-49.7326,-40.1188,287.8,train
-48.8373,-35.036,290.29,train
-55.9373,-48.8623,278.54,train
-57.4641,-43.4569,281.04,train
-59.4271,-49.878,278.97,train
-57.3668,-42.4488,279.58,train
-52.0801,-37.184,292.08,train
-55.5013,-49.4442,278.76,train
-55.9471,-42.4097,282.77,train
-59.992,-46.5828,279.35,train
-51.7631,-36.9786,292.2,train
-49.4415,-42.5566,287.97,train
-54.6162,-47.8036,279.13,train
-59.3227,-45.8452,278.64,train
-56.5021,-49.7718,278.52,train
-56.9574,-38.0023,285.52,train
-50.9906,-36.9415,291.41,train
-55.0943,-47.3535,278.85,train
-58.928,-48.8739,278.89,train
-54.5598,-44.5008,281.67,train
-53.673,-44.4742,280.72,train
-59.3098,-41.6208,283.25,train
-58.5561,-45.1169,279.13,train
-57.5044,-48.914,279.35,train
-48.1647,-44.6483,282.6,train
-53.4882,-37.5978,291.25,train
-51.9718,-44.1608,283.26,train
-54.7607,-46.1362,281.26,train
-55.3958,-46.6358,279.52,train
-48.5386,-44.3789,282.5,train
-52.8666,-37.3057,291.02,train
-49.7647,-46.0969,280.61,train
-54.3952,-48.3041,278.69,train
-52.5495,-44.9952,283.94,train
-50.2422,-36.1844,289.32,train
-51.5314,-47.1574,280.98,train
-50.5658,-38.3968,287.39,train
-51.2156,-43.3818,283.17,train
-54.2236,-47.7513,283.38,train
-54.2427,-47.3992,284.57,train
-54.8475,-45.2949,280.66,train
-58.928,-48.3616,279.6,train
-56.163,-47.2717,278.75,train
-49.3312,-35.994,291.97,train
-52.3293,-49.2111,277.91,train
-52.2034,-45.4345,284.54,train
-56.5484,-46.0878,280.23,train
-54.5241,-44.8544,281,train
-56.9464,-49.0357,278.5,train
-59.4701,-45.385,279.07,train
-50.1076,-36.1696,289.47,train
-57.8268,-38.2917,287.19,train
-57.9048,-44.3909,281.44,train
-54.6764,-47.4988,283.1,train
-54.7885,-49.3907,278.55,train
-51.5365,-44.1722,282.23,train
-50.4421,-35.6103,292.41,train
-59.2115,-39.1796,285.48,train
-50.9065,-42.8405,286.89,train
-59.5882,-42.6431,281.77,train
-48.8763,-46.311,282.85,train
-58.1728,-41.8264,281.22,train
-56.2235,-48.6118,279,train
-54.5928,-44.486,281.67,train
-57.0633,-43.2419,281.08,train
-58.9826,-44.6044,278.91,train
-56.2225,-48.9971,279.01,train
-52.6304,-37.9795,291.23,train
-52.2268,-38.1816,292.16,train
-48.0023,-44.2628,282.55,train
-50.1102,-40.3126,287.27,train
-59.4001,-42.7653,281.5,train
-57.3652,-42.3685,279.83,train
-51.1726,-42.0967,282.47,train
-58.8185,-48.9202,279.26,train
-51.2921,-37.8796,289.38,train
-50.9216,-36.6517,292.01,train
-54.1882,-37.527,289.48,train
-55.3007,-44.3402,284.78,train
-59.9121,-42.7738,282.22,train
-56.0545,-47.5327,278.69,train
-59.1969,-39.9901,283.98,train
-56.931,-49.3975,279.13,train
-51.2998,-36.3562,291.1,train
-53.4173,-44.4514,281.76,train
-52.599,-49.4615,277.91,train
-53.9264,-46.1358,281.51,train
-56.6186,-46.6611,280.27,train
-58.7327,-48.7772,278.69,train
-50.7484,-36.5168,291.6,train
-58.9501,-44.1319,279.63,train
-54.8943,-45.877,280.67,train
-52.9893,-45.1389,281.76,train
-54.5564,-45.1924,283.6,train
-54.2038,-49.6542,278.67,train
-58.4579,-40.1192,283.01,train
-58.856,-44.6813,279.51,train
-48.6741,-36.1951,291.6,train
-52.6635,-38.523,291.75,train
-56.5901,-48.5378,278.98,train
-54.6955,-37.562,289.61,train
-54.5045,-44.803,281,train
-49.2788,-36.303,288.47,train
-53.4191,-45.6027,280.63,train
-58.1429,-46.849,279.47,train
-52.7385,-49.5002,277.61,train
-54.658,-40.6032,281.66,train
-51.3185,-41.7481,282.75,train
-56.6325,-44.5682,281.11,train
-52.6421,-47.5811,281.89,train
-55.346,-48.4335,278.7,train
-58.5078,-44.0053,280.16,train
-49.435,-35.1925,291.89,train
-54.1903,-49.8648,278.51,train
-55.4119,-45.1192,281.07,train
-58.1035,-47.3584,278.67,train
-53.8959,-49.1937,277.92,train
-49.5152,-46.333,281.76,train
-56.5823,-49.2262,278.64,train
-51.3251,-36.4251,291.98,train
-58.8944,-45.8367,279.25,train
-49.4852,-46.1993,282.19,train
-57.3478,-47.7205,279.08,train
-56.9168,-43.4137,281.07,train
-58.4084,-47.0395,278.54,train
-51.1678,-43.3372,283.01,train
-50.9573,-36.2777,291.85,train
-56.6003,-43.3316,281.08,train
-58.7983,-42.5983,280.79,train
-48.0564,-35.0602,291.5,train
-56.2665,-43.2065,282.69,train
-52.4745,-36.2561,292.88,train
-57.5169,-39.3647,283.72,train
-53.5687,-35.3757,289.86,train
-54.0219,-44.6346,281.5,train
-57.2624,-41.4091,280.16,train
-58.0227,-43.8623,281.1,train
-50.5796,-46.1735,282.28,train
-53.1753,-49.6173,277.85,train
-53.5383,-37.9575,291.77,train
-54.8226,-45.5813,281.61,train
-53.9428,-46.6262,281.7,train
-49.2881,-46.7101,282.94,train
-50.2417,-46.2701,282.79,train
-56.4947,-41.9509,279.76,train
-56.1471,-38.9236,283.35,train
-54.0563,-47.0148,284.39,train
-51.8413,-36.6656,291.53,train
-51.5694,-36.6122,292.45,train
-58.1746,-39.3123,283.82,train
-57.6711,-42.0849,280.23,train
-48.486,-44.5324,282.75,train
-58.7931,-39.1321,285.35,train
-59.3525,-43.4944,280.19,train
-56.1339,-48.9665,278.8,train
-58.5962,-42.1031,281.8,train
-55.9922,-44.3579,280.7,train
-56.7709,-39.2888,283.44,train
-59.4021,-41.0368,283.1,train
-53.9243,-49.736,278.5,train
-48.3797,-45.9772,282.89,train
-51.4879,-36.5007,292.26,train
-59.0121,-49.2533,279.16,train
-53.4809,-39.1792,291.53,train
-59.2431,-42.6968,281.63,train
-55.541,-48.2815,278.7,train
-59.2516,-49.5936,278.97,train
-57.8595,-46.2307,280.48,train
-55.7461,-41.3745,281.38,train
-58.5924,-45.1416,279.8,train
-54.3681,-48.9898,278.3,train
-59.614,-43.6067,280.02,train
-58.3751,-47.6632,278.36,train
-57.5112,-44.9003,281.38,train
-59.6039,-49.9423,279.22,train
-48.6627,-45.6981,282.6,train
-53.3111,-49.4062,278.04,train
-58.4887,-49.7237,279.57,train
-57.4413,-40.9445,281.91,train
-59.0246,-45.4552,279.41,train
-52.5075,-36.8804,291.78,train
-49.9612,-36.6851,288,train
-59.0492,-48.0664,278.91,train
-52.6237,-36.9223,291.47,train
-48.7718,-36.1917,292.66,train
-48.8144,-35.2098,290.91,train
-48.5006,-46.0115,282.82,train
-51.0179,-36.544,292.53,train
-59.421,-47.1263,278.66,train
-58.9479,-44.7501,279.04,train
-55.3301,-49.116,278.73,train
-59.6861,-45.7902,279,train
-52.908,-39.2227,291.58,train
-49.7331,-45.0277,284.22,train
-49.3748,-36.079,292.07,train
-49.4554,-46.5036,282.5,train
-52.0857,-49.0787,278.32,train
-49.7199,-46.2783,282.25,train
-54.9759,-40.0194,280.11,train
-56.02,-49.0944,278.64,train
-59.4377,-49.8474,278.95,train
-53.7904,-47.6017,285.54,train
-48.0493,-49.9693,277.51,train
-57.8442,-40.334,282.23,train
-48.4311,-43.422,283.13,train
-52.214,-49.8977,278.36,train
-57.2491,-45.7563,280.64,train
-59.175,-47.1577,278.7,train
-54.666,-48.7084,278.29,train
-56.7284,-49.6463,278.64,train
-48.4643,-37.4272,288.38,train
-54.2923,-42.4568,290.53,train
-59.4356,-47.2335,278.75,train
-59.213,-41.7509,282.53,train
-54.5173,-49.3275,278.29,train
-59.0304,-44.8869,279,train
-57.8954,-39.9644,282.88,train
-55.4315,-47.4366,279.07,train
-59.2836,-44.6556,279.08,train
-57.6545,-42.5045,279.44,train
-50.7127,-35.9266,292.25,train
-51.9864,-36.8308,292.51,train
-56.586,-39.3884,283.14,train
-57.1134,-47.2683,279.29,train
-55.8075,-48.3472,278.22,train
-53.7691,-47.8804,282.8,train
-56.8976,-47.0974,279.67,train
-53.0009,-37.4251,290.88,train
-50.6754,-35.6425,292.53,train
-52.1751,-37.4529,291.67,train
-54.0883,-38.6943,289.19,train
-58.0992,-44.7186,280.91,train
-56.2981,-46.733,279.29,train
-50.7431,-37.9708,289.03,train
-53.1748,-46.4874,281.19,train
-55.731,-39.2184,281.64,train
-52.7874,-37.9944,291.63,train
-57.935,-45.0919,280,train
-51.1334,-43.2637,282.67,train
-49.1998,-35.4088,293.26,train
-55.428,-48.3019,278.6,train
-57.5923,-42.4067,279.6,train
-54.6955,-45.3837,283.07,train
-54.4609,-45.3692,283.72,train
-48.5669,-44.7889,283.11,train
-48.5933,-37.1204,288.95,train
-59.0115,-42.3584,281.6,train
-57.8744,-39.7335,283.38,train
-58.9706,-49.3059,279.14,train
-48.3637,-45.8445,282.55,train
-59.1507,-40.9842,282.77,train
-59.6687,-48.3951,279.55,train
-56.2964,-49.3965,278.66,train
-51.9118,-37.2833,291.72,train
-58.9656,-44.5129,279.47,train
-55.8004,-47.5946,278.04,train
-52.4226,-38.6054,291.92,train
-55.5835,-48.1437,278.27,train
-58.4285,-48.816,278.8,train
-58.0644,-45.6913,280.57,train
-52.302,-35.1299,290.28,train
-50.8017,-46.4191,281.29,train
-55.5923,-49.2792,278.07,train
-50.442,-37.2584,292.05,train
-58.7222,-42.6515,280.13,train
-51.5241,-46.8736,280.92,train
-59.6777,-46.0765,278.92,train
-57.45,-49.7388,279.42,train
-59.296,-40.3897,283.22,train
-53.2299,-37.0835,292.29,train
-53.2295,-39.9526,292.48,train
-50.1227,-36.3258,288.44,train
-56.6688,-38.6012,284.32,train
-52.2173,-36.2162,292.67,train
-53.1316,-45.9533,280.61,train
-54.7199,-38.8407,290.63,train
-55.0232,-44.1522,284.67,train
-56.9511,-47.7289,278.19,train
-48.8222,-35.4334,292.83,train
-53.4628,-48.6376,278.85,train
