rep,row,col,gen,yield
2,2,3,67,727
2,2,4,71,509
2,2,5,81,735
2,3,1,70,625
2,3,2,91,644
2,3,3,19,749
2,3,4,100,532
2,3,5,106,709
2,4,1,22,619
2,4,2,36,716
2,4,3,103,719
2,4,4,27,443
2,4,5,61,724
2,5,1,56,781
2,5,2,57,696
2,5,3,35,655
2,5,4,42,680
2,5,5,69,637
2,6,1,41,729
2,6,2,68,608
2,6,3,14,535
2,6,4,98,644
2,6,5,66,613
2,7,1,37,708
2,7,2,23,785
2,7,3,107,780
2,7,4,12,516
2,7,5,38,556
2,8,1,53,650
2,8,2,102,631
2,8,3,11,661
2,8,4,77,572
2,8,5,9,618
2,9,1,86,620
2,9,2,33,617
2,9,3,73,687
2,9,4,72,584
2,9,5,24,754
2,10,1,40,785
2,10,2,47,758
2,10,3,30,757
2,10,4,13,624
2,10,5,55,845
2,11,1,50,741
2,11,2,105,776
2,11,3,6,763
2,11,4,64,651
2,11,5,60,906
2,12,1,16,847
2,12,2,2,736
2,12,3,29,754
2,12,4,59,611
2,12,5,46,813
2,13,1,80,657
2,13,2,104,631
2,13,3,75,910
2,13,4,8,593
2,13,5,93,750
2,14,1,78,704
2,14,2,28,782
2,14,3,97,733
2,14,4,5,651
2,14,5,31,740
2,15,1,26,662
2,15,2,90,702
2,15,3,82,868
2,15,4,85,558
2,15,5,63,635
2,16,1,95,710
2,16,2,32,638
2,16,3,10,791
2,16,4,45,594
2,16,5,43,743
2,17,1,96,817
2,17,2,21,635
2,17,3,25,696
2,17,4,101,690
2,17,5,54,711
2,18,1,17,754
2,18,2,39,592
2,18,3,7,712
2,18,4,89,602
2,18,5,48,819
2,19,1,82,925
2,19,2,76,534
2,19,3,52,850
2,19,4,65,626
2,19,5,1,845
2,20,1,87,821
2,20,2,84,706
2,20,3,3,803
2,20,4,99,747
2,20,5,49,818
2,21,1,44,767
2,21,2,79,596
2,21,3,83,802
2,21,4,34,637
2,21,5,20,734
2,22,1,58,875
2,22,2,89,735
2,22,3,88,793
2,22,4,51,569
2,22,5,94,844
3,1,1,5,568
3,1,2,2,706
3,1,3,27,298
3,1,4,79,371
3,1,5,47,194
3,2,1,4,508
3,2,2,42,726
3,2,3,89,439
3,2,4,9,328
3,2,5,29,246
3,3,1,104,469
3,3,2,81,686
3,3,3,28,363
3,3,4,66,452
3,3,5,100,283
3,4,1,46,628
3,4,2,91,559
3,4,3,56,358
3,4,4,82,399
3,4,5,93,307
3,5,1,63,561
3,5,2,57,618
3,5,3,37,317
3,5,4,82,435
3,5,5,89,294
3,6,1,3,599
3,6,2,25,527
3,6,3,99,491
3,6,4,59,387
3,6,5,107,257
3,7,1,48,637
3,7,2,26,715
3,7,3,97,256
3,7,4,101,503
3,7,5,39,238
3,8,1,98,696
3,8,2,72,680
3,8,3,68,328
3,8,4,83,446
3,8,5,32,285
3,9,1,60,581
3,9,2,80,473
3,9,3,64,396
3,9,4,62,422
3,9,5,40,254
3,10,1,8,553
3,10,2,73,546
3,10,3,49,288
3,10,4,90,379
3,10,5,58,302
3,11,1,51,666
3,11,2,45,724
3,11,3,74,315
3,11,4,106,458
3,11,5,13,397
3,12,1,71,531
3,12,2,52,627
3,12,3,24,361
3,12,4,104,296
3,12,5,34,393
3,13,1,15,547
3,13,2,53,700
3,13,3,95,387
3,13,4,65,487
3,13,5,61,428
3,14,1,22,617
3,14,2,102,546
3,14,3,21,350
3,14,4,31,465
3,14,5,20,319
3,15,1,14,428
3,15,2,17,673
3,15,3,103,351
3,15,4,76,335
3,15,5,43,458
3,16,1,86,549
3,16,2,54,657
3,16,3,75,298
3,16,4,78,369
3,16,5,36,396
3,17,1,18,571
3,17,2,19,661
3,17,3,94,485
3,17,4,50,469
3,17,5,44,381
3,18,1,12,554
3,18,2,96,733
3,18,3,55,447
3,18,4,70,518
3,18,5,41,343
3,19,1,69,668
3,19,2,92,599
3,19,3,11,376
3,19,4,88,573
3,19,5,105,458
3,20,1,87,657
3,20,2,7,567
3,20,3,67,395
3,20,4,77,493
3,20,5,6,438
3,21,1,84,566
3,21,2,10,663
3,21,3,30,381
3,21,4,23,541
3,21,5,1,508
3,22,1,35,578
3,22,2,38,530
3,22,3,85,442
3,22,4,33,423
3,22,5,16,551
